# Device Information: 
# Manufacturer:LGE
# Model: Nexus 4
# API-level: 21
# LGE Accelerometer Sensor: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 1
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 2
# Orientation: 
#     Resolution: 0.1
#     Minimal Delay: 5000
#     Sensor Type: 3
# LGE Proximity Sensor: 
#     Resolution: 0.10070801
#     Minimal Delay: 50000
#     Sensor Type: 8
# LGE Light Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 50000
#     Sensor Type: 5
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 4
# LGE Barometer Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 33333
#     Sensor Type: 6
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 14
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 16
# Gravity: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 9
# Linear Acceleration: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 10
# Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 11
# Significant Motion: 
#     Resolution: 1.0
#     Minimal Delay: -1
#     Sensor Type: 17
# Game Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 15
# sample; timestamp; type; accuracy; data1; ...; dataN
#------------------------------------------------------------------
143; 1419879046094514927; 10; 3; 0.744919; -0.579738; 4.184725
144; 1419879046099550327; 10; 3; 0.615946; -0.399564; 3.491424
145; 1419879046104585728; 10; 3; 0.435255; -0.262839; 2.658011
146; 1419879046109621128; 10; 3; 0.419193; -0.260627; 1.629774
147; 1419879046114656529; 10; 3; 0.638370; -0.262310; 0.570688
148; 1419879046119691929; 10; 3; 0.927999; -0.272361; -0.421509
149; 1419879046124727329; 10; 3; 1.026543; -0.337836; -1.224834
150; 1419879046129762730; 10; 3; 0.962537; -0.250574; -1.994680
151; 1419879046134859165; 10; 3; 0.846955; -0.169824; -2.561316
152; 1419879046140108189; 10; 3; 0.729568; -0.023734; -2.978293
153; 1419879046144868931; 10; 3; 0.687004; 0.082772; -3.170400
154; 1419879046149904331; 10; 3; 0.772494; 0.153264; -3.150245
155; 1419879046154939732; 10; 3; 0.680813; 0.249603; -3.061243
156; 1419879046159975132; 10; 3; 0.715921; 0.266065; -3.019691
157; 1419879046165010532; 10; 3; 0.535516; 0.304650; -2.896372
158; 1419879046170045933; 10; 3; 0.479144; 0.337870; -2.825412
159; 1419879046175081333; 10; 3; 0.367834; 0.372708; -2.627801
160; 1419879046180067969; 10; 3; 0.168528; 0.335535; -2.481576
161; 1419879046185133887; 10; 3; -0.067621; 0.345932; -2.113000
162; 1419879046190169287; 10; 3; -39.389668; 3.400987; -4.368258
163; 1419879046195204688; 10; 3; 11.191195; 7.265537; -6.903287
164; 1419879046200209571; 10; 3; 2.780292; 1.345459; 1.664454
165; 1419879046205275489; 10; 3; -5.066721; -1.207798; 0.305236
166; 1419879046210310889; 10; 3; -1.455123; -1.197774; -2.434509
167; 1419879046215346289; 10; 3; 1.323239; -0.689071; -0.358482
168; 1419879046220381690; 10; 3; 4.129322; 0.356645; -1.028730
169; 1419879046225417090; 10; 3; 3.998826; -0.140791; -0.962532
170; 1419879046230452491; 10; 3; 2.359566; -0.372345; -0.683707
171; 1419879046235487891; 10; 3; 2.198606; 0.298544; -0.691339
172; 1419879046240523291; 10; 3; 2.005080; 0.073320; -0.462502
173; 1419879046245558692; 10; 3; 2.080307; -0.448213; -0.207731
174; 1419879046250594092; 10; 3; 2.075192; -1.090587; 0.063085
175; 1419879046255629493; 10; 3; 1.944381; -1.397038; 0.453546
176; 1419879046260664893; 10; 3; 1.972182; -1.421383; 0.934623
177; 1419879046265700293; 10; 3; 1.800735; -1.261680; 1.371942
178; 1419879046270674659; 10; 3; 1.350669; -1.006020; 1.757482
179; 1419879046275771094; 10; 3; 0.634694; -0.563655; 2.018300
180; 1419879046280806494; 10; 3; -0.196441; -0.099989; 2.048949
181; 1419879046285902930; 10; 3; -0.713583; 0.348006; 1.675735
182; 1419879046291121436; 10; 3; -0.983896; 0.726223; 1.174356
183; 1419879046295912696; 10; 3; -1.060797; 0.816347; 0.352141
184; 1419879046300948096; 10; 3; -1.062913; 0.744891; -0.316978
185; 1419879046305983496; 10; 3; -0.893926; 0.660454; -1.093554
186; 1419879046311018897; 10; 3; -0.626627; 0.482956; -1.713335
187; 1419879046316054297; 10; 3; -0.505158; 0.300835; -2.095656
188; 1419879046321089698; 10; 3; -0.490955; 0.282259; -2.392227
189; 1419879046326125098; 10; 3; -0.495684; 0.301893; -2.572819
190; 1419879046331160498; 10; 3; -0.674415; 0.409165; -2.607362
191; 1419879046336195899; 10; 3; -0.987578; 0.524867; -2.393591
192; 1419879046341231299; 10; 3; -1.222175; 0.734087; -2.062846
193; 1419879046346266700; 10; 3; -3.619776; 0.263834; -1.795457
194; 1419879046351302100; 10; 3; -12.534266; 8.231646; -8.072797
195; 1419879046356337500; 10; 3; 7.911056; 2.174444; -1.808339
196; 1419879046361372901; 10; 3; -0.811731; -2.397213; 0.495581
197; 1419879046366408301; 10; 3; 0.390716; -2.447581; -3.232704
198; 1419879046371443701; 10; 3; 2.481588; -2.028370; -2.155597
199; 1419879046376479102; 10; 3; 5.078446; -0.660395; -2.059547
200; 1419879046381514502; 10; 3; 4.911943; -0.272920; -2.556938
201; 1419879046386549903; 10; 3; 1.328431; 0.438954; -1.902392
202; 1419879046391585303; 10; 3; 1.209599; 0.892772; -1.499095
