# Device Information: 
# Manufacturer:LGE
# Model: Nexus 4
# API-level: 21
# LGE Accelerometer Sensor: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 1
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 2
# Orientation: 
#     Resolution: 0.1
#     Minimal Delay: 5000
#     Sensor Type: 3
# LGE Proximity Sensor: 
#     Resolution: 0.10070801
#     Minimal Delay: 50000
#     Sensor Type: 8
# LGE Light Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 50000
#     Sensor Type: 5
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 4
# LGE Barometer Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 33333
#     Sensor Type: 6
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 14
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 16
# Gravity: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 9
# Linear Acceleration: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 10
# Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 11
# Significant Motion: 
#     Resolution: 1.0
#     Minimal Delay: -1
#     Sensor Type: 17
# Game Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 15
# sample; timestamp; type; accuracy; data1; ...; dataN
#------------------------------------------------------------------
138; 1419887327439417247; 10; 3; 0.263145; -0.000102; -0.146977
139; 1419887327444483165; 10; 3; 0.078017; 0.001577; -0.134523
140; 1419887327449518565; 10; 3; -0.054810; 0.093124; -0.043078
141; 1419887327454523448; 10; 3; -0.161721; 0.140318; 0.040628
142; 1419887327459589366; 10; 3; -0.387243; 0.168313; 0.074069
143; 1419887327464624766; 10; 3; -0.472866; 0.155890; 0.082558
144; 1419887327469660167; 10; 3; -0.600653; 0.201290; 0.119721
145; 1419887327474695567; 10; 3; -0.621527; 0.170382; 0.172666
146; 1419887327479730968; 10; 3; -0.494952; 0.203055; 0.248595
147; 1419887327484766368; 10; 3; -0.316512; 0.181797; 0.304904
148; 1419887327489771251; 10; 3; -0.299133; 0.065611; 0.197441
149; 1419887327494837169; 10; 3; -0.220668; 0.063243; 0.086820
150; 1419887327499872569; 10; 3; -0.197211; 0.060551; 0.060335
151; 1419887327504907970; 10; 3; -0.063088; 0.073064; 0.019032
152; 1419887327509943370; 10; 3; -0.008366; 0.009782; -0.069175
153; 1419887327514978770; 10; 3; 0.045515; -0.075442; -0.081289
154; 1419887327520014171; 10; 3; 0.087932; -0.078239; -0.143459
155; 1419887327525080089; 10; 3; 0.209998; -0.131483; -0.071060
156; 1419887327530084971; 10; 3; 0.292180; -0.165017; -0.118166
157; 1419887327535120372; 10; 3; 0.340532; -0.201434; -0.072322
158; 1419887327540155772; 10; 3; 0.440593; -0.283343; -0.068869
159; 1419887327545191173; 10; 3; 0.606354; -0.295780; -0.001014
160; 1419887327550226573; 10; 3; 0.683914; -0.300771; 0.117975
161; 1419887327555280415; 10; 3; 0.742680; -0.292570; 0.054976
162; 1419887327560315816; 10; 3; 0.746301; -0.336448; 0.094018
163; 1419887327565351216; 10; 3; 0.818503; -0.259442; 0.100896
164; 1419887327570386617; 10; 3; 0.843338; -0.257572; 0.117339
165; 1419887327575422017; 10; 3; 0.707773; -0.286743; 0.278355
166; 1419887327580457417; 10; 3; 0.434389; -0.148132; 0.262650
167; 1419887327585492818; 10; 3; 0.117357; -0.041605; 0.203982
168; 1419887327590528218; 10; 3; -0.152419; 0.102897; 0.187722
169; 1419887327595563619; 10; 3; -0.427977; 0.150409; 0.188595
170; 1419887327600599019; 10; 3; -0.565849; 0.204535; 0.115301
171; 1419887327605634419; 10; 3; -0.699007; 0.197874; 0.149247
172; 1419887327610669820; 10; 3; -0.699134; 0.169920; 0.079068
173; 1419887327615705220; 10; 3; -0.616978; 0.096058; -0.030929
174; 1419887327620740620; 10; 3; -0.418784; 0.021654; -0.015078
175; 1419887327625776021; 10; 3; -0.176123; -0.056740; -0.127541
176; 1419887327630780904; 10; 3; 0.115759; -0.160368; -0.074189
177; 1419887327635846822; 10; 3; 0.461434; -0.285533; -0.181433
178; 1419887327640882222; 10; 3; 0.739403; -0.318556; -0.161916
179; 1419887327645917622; 10; 3; 0.884695; -0.411346; -0.203622
180; 1419887327650983540; 10; 3; 1.066854; -0.429863; -0.256526
181; 1419887327655957906; 10; 3; 1.210557; -0.496710; -0.155604
182; 1419887327661023824; 10; 3; 1.397915; -0.454352; -0.080183
183; 1419887327666059224; 10; 3; 1.411719; -0.478906; 0.030738
184; 1419887327671064107; 10; 3; 1.240073; -0.495608; 0.141740
185; 1419887327676160542; 10; 3; 0.931096; -0.388562; -0.040622
186; 1419887327681165425; 10; 3; 0.612858; -0.345389; -0.070936
187; 1419887327686200826; 10; 3; 0.283417; -0.215189; -0.190611
188; 1419887327691236226; 10; 3; -0.008371; -0.140245; -0.152056
189; 1419887327696271626; 10; 3; -0.154516; -0.120077; -0.177746
190; 1419887327701307027; 10; 3; -0.286581; -0.071484; -0.152497
191; 1419887327706342427; 10; 3; -0.375442; -0.092875; -0.102592
192; 1419887327711377828; 10; 3; -0.411996; -0.084425; -0.090908
193; 1419887327716413228; 10; 3; -0.401147; -0.199002; -0.199015
194; 1419887327721448628; 10; 3; -0.193825; -0.216804; -0.147089
195; 1419887327726484029; 10; 3; -0.036961; -0.228226; -0.120870
196; 1419887327731519429; 10; 3; 0.140081; -0.239216; -0.188976
197; 1419887327736524312; 10; 3; 0.428849; -0.247503; -0.041740
198; 1419887327741559712; 10; 3; 0.625678; -0.281694; 0.051188
199; 1419887327746564595; 10; 3; 0.859497; -0.283875; 0.130711
200; 1419887327751599995; 10; 3; 0.883003; -0.376406; 0.200801
201; 1419887327756635396; 10; 3; 0.712750; -0.178818; 0.112509
202; 1419887327761670796; 10; 3; 0.593604; -0.070368; 0.118945
203; 1419887327766706197; 10; 3; 0.346300; -0.158329; 0.040717
204; 1419887327771741597; 10; 3; 0.232774; -0.118202; -0.042732
205; 1419887327776776997; 10; 3; 0.181968; -0.123312; -0.074854
206; 1419887327781842915; 10; 3; 0.055755; -0.061952; -0.065586
207; 1419887327786878316; 10; 3; -0.047554; -0.074099; 0.054609
208; 1419887327791883199; 10; 3; -0.220730; 0.017194; 0.025642
209; 1419887327796949117; 10; 3; -2.877597; -0.826172; -0.239522
210; 1419887327801953999; 10; 3; -8.488077; 3.967659; -6.105150
211; 1419887327807019917; 10; 3; 5.094129; 2.452357; -0.283164
212; 1419887327812055318; 10; 3; 0.098263; -0.421355; 2.725113
213; 1419887327817090718; 10; 3; -0.596248; -1.310925; 1.053994
214; 1419887327822126119; 10; 3; 0.501205; -0.699050; 1.065263
215; 1419887327827222554; 10; 3; 2.576936; 0.398757; 0.761108
216; 1419887327832196919; 10; 3; 1.815722; 0.363570; -0.213457
217; 1419887327837201802; 10; 3; 0.419565; -0.244348; -0.115188
218; 1419887327842267720; 10; 3; 0.109863; -0.342134; -0.009796
219; 1419887327847272603; 10; 3; 0.319316; 0.058650; -0.047057
220; 1419887327852338521; 10; 3; 0.264767; 0.156990; 0.019153
221; 1419887327857373921; 10; 3; 0.151108; -0.070973; 0.139217
222; 1419887327862378804; 10; 3; 0.076315; -0.198732; 0.255607
223; 1419887327867444722; 10; 3; -0.001431; -0.141576; 0.154304
224; 1419887327872449605; 10; 3; -0.015039; -0.203468; 0.081265
225; 1419887327877485005; 10; 3; 0.039023; -0.210533; 0.117468
226; 1419887327882550923; 10; 3; 0.040820; -0.221975; 0.105514
227; 1419887327887555806; 10; 3; -0.027612; -0.230602; 0.160489
228; 1419887327892591206; 10; 3; -0.019435; -0.209267; 0.205297
229; 1419887327897626607; 10; 3; -0.059739; -0.211618; 0.204809
230; 1419887327902692525; 10; 3; -0.036915; -0.139396; 0.176163
231; 1419887327907697408; 10; 3; -0.067185; -0.023822; 0.103036
232; 1419887327912763326; 10; 3; -0.114262; 0.006920; -0.010873
233; 1419887327917768208; 10; 3; -0.108966; 0.036222; -0.098009
234; 1419887327922803609; 10; 3; -0.023953; -0.021179; -0.163370
235; 1419887327927839009; 10; 3; 0.005617; 0.100560; -0.250938
236; 1419887327932904927; 10; 3; 0.073578; 0.106742; -0.231391
237; 1419887327937909810; 10; 3; 0.091971; 0.008523; -0.298367
238; 1419887327942945210; 10; 3; 0.139243; 0.041085; -0.237111
239; 1419887327948011128; 10; 3; 0.225821; -0.011765; -0.226043
